0,alabama,alabaster-city-schools,Last Day of School,"23 May 2019
(Thu)",
1,alabama,alabaster-city-schools,Last Day of School,"23 May 2019
(Thu)",
2,alabama,alabaster-city-schools,Last Day of School,"23 May 2019
(Thu)",
3,alabama,alabaster-city-schools,Last Day of School,"23 May 2019
(Thu)",
4,alabama,alabaster-city-schools,Last Day of School,"23 May 2019
(Thu)",
0,alabama,alabaster-city-schools,Last Day of School,"23 May 2019
(Thu)",
1,alabama,alabaster-city-schools,Last Day of School,"23 May 2019
(Thu)",
2,alabama,alabaster-city-schools,Last Day of School,"23 May 2019
(Thu)",
3,alabama,alabaster-city-schools,Last Day of School,"23 May 2019
(Thu)",
4,alabama,alabaster-city-schools,Last Day of School,"23 May 2019
(Thu)",
0,alabama,alabaster-city-schools,Last Day of School,"23 May 2019
(Thu)",
1,alabama,alabaster-city-schools,Last Day of School,"23 May 2019
(Thu)",
2,alabama,alabaster-city-schools,Last Day of School,"23 May 2019
(Thu)",
3,alabama,alabaster-city-schools,Last Day of School,"23 May 2019
(Thu)",
4,alabama,alabaster-city-schools,Last Day of School,"23 May 2019
(Thu)",
